model,actual,predicted
perfect,1.92,1.92
perfect,2,2
perfect,2,2
perfect,2.04,2.04
perfect,2.13,2.13
perfect,2.21,2.21
perfect,2.25,2.25
perfect,2.25,2.25
perfect,2.54,2.54
perfect,2.67,2.67
perfect,2.71,2.71
perfect,2.71,2.71
perfect,2.79,2.79
perfect,2.96,2.96
perfect,3.33,3.33
perfect,3.42,3.42
perfect,3.46,3.46
demographic,1.92,1.71854
demographic,2,1.92804
demographic,2,2.43321
demographic,2.04,2.16743
demographic,2.13,2.19382
demographic,2.21,2.58266
demographic,2.25,2.16743
demographic,2.25,2.34327
demographic,2.54,2.58266
demographic,2.67,3.03155
demographic,2.71,2.58266
demographic,2.71,2.43321
demographic,2.79,2.79216
demographic,2.96,2.82205
demographic,3.33,3.05794
demographic,3.42,3.03155
demographic,3.46,3.50683
cognitive-diversity,1.92,2.17979
cognitive-diversity,2,1.96575
cognitive-diversity,2,2.41527
cognitive-diversity,2.04,2.29367
cognitive-diversity,2.13,2.88855
cognitive-diversity,2.21,2.23297
cognitive-diversity,2.25,2.69025
cognitive-diversity,2.25,2.3788
cognitive-diversity,2.54,2.64127
cognitive-diversity,2.67,2.77487
cognitive-diversity,2.71,2.96321
cognitive-diversity,2.71,2.12519
cognitive-diversity,2.79,2.65888
cognitive-diversity,2.96,2.46758
cognitive-diversity,3.33,2.7374
cognitive-diversity,3.42,2.98611
cognitive-diversity,3.46,2.97545
cognitive-traits,1.92,2.42265
cognitive-traits,2,1.80855
cognitive-traits,2,2.46022
cognitive-traits,2.04,1.90903
cognitive-traits,2.13,2.75208
cognitive-traits,2.21,2.50432
cognitive-traits,2.25,2.54748
cognitive-traits,2.25,2.19329
cognitive-traits,2.54,2.82464
cognitive-traits,2.67,2.67636
cognitive-traits,2.71,2.99003
cognitive-traits,2.71,2.32776
cognitive-traits,2.79,2.6335
cognitive-traits,2.96,2.62289
cognitive-traits,3.33,2.73682
cognitive-traits,3.42,2.94452
cognitive-traits,3.46,3.02086
perception,1.92,2.02346
perception,2,2.28106
perception,2,2.26927
perception,2.04,2.33213
perception,2.13,1.94713
perception,2.21,2.55634
perception,2.25,2.2214
perception,2.25,2.65738
perception,2.54,2.38671
perception,2.67,2.13849
perception,2.71,2.43862
perception,2.71,2.78781
perception,2.79,3.03064
perception,2.96,2.6516
perception,3.33,3.12087
perception,3.42,3.03218
perception,3.46,3.49992
qualitative,1.92,2.38209
qualitative,2,2.0467
qualitative,2,2.57642
qualitative,2.04,2.70069
qualitative,2.13,1.94932
qualitative,2.21,2.30905
qualitative,2.25,2.24273
qualitative,2.25,2.39888
qualitative,2.54,2.18606
qualitative,2.67,2.39846
qualitative,2.71,2.48829
qualitative,2.71,2.31765
qualitative,2.79,2.84004
qualitative,2.96,2.94624
qualitative,3.33,3.18843
qualitative,3.42,3.04613
qualitative,3.46,3.35783